vin,component,cycle,value,rul
VIN_36377,fuel_pump,0,57.59047784834786,915
VIN_36377,fuel_pump,1,60.66741153064863,914
VIN_36377,fuel_pump,2,61.8973529231004,913
VIN_36377,fuel_pump,3,63.76449446130704,912
VIN_36377,fuel_pump,4,60.77244221637844,911
VIN_36377,fuel_pump,5,60.879307273706736,910
VIN_36377,fuel_pump,6,56.65301275986137,909
VIN_36377,fuel_pump,7,61.10533546429194,908
VIN_36377,fuel_pump,8,59.11202277814786,907
VIN_36377,fuel_pump,9,60.36684953747884,906
VIN_36377,fuel_pump,10,61.70477782800238,905
VIN_36377,fuel_pump,11,62.0129389155641,904
VIN_36377,fuel_pump,12,60.3147662902518,903
VIN_36377,fuel_pump,13,55.432110554619726,902
VIN_36377,fuel_pump,14,59.29829138617846,901
VIN_36377,fuel_pump,15,56.94341951611674,900
VIN_36377,fuel_pump,16,60.12121850732762,899
VIN_36377,fuel_pump,17,61.70093101638392,898
VIN_36377,fuel_pump,18,61.29128484770754,897
VIN_36377,fuel_pump,19,57.26956600457898,896
VIN_36377,fuel_pump,20,59.52833704280148,895
VIN_36377,fuel_pump,21,57.28173947374116,894
VIN_36377,fuel_pump,22,60.99666671804143,893
VIN_36377,fuel_pump,23,57.63402746875753,892
VIN_36377,fuel_pump,24,59.78306307678378,891
VIN_36377,fuel_pump,25,57.57987476418265,890
VIN_36377,fuel_pump,26,59.51111542075027,889
VIN_36377,fuel_pump,27,58.892317358098396,888
VIN_36377,fuel_pump,28,60.411149169295406,887
VIN_36377,fuel_pump,29,58.72828746375069,886
VIN_36377,fuel_pump,30,59.46925855478927,885
VIN_36377,fuel_pump,31,55.684665753635706,884
VIN_36377,fuel_pump,32,57.93200046974839,883
VIN_36377,fuel_pump,33,60.178879294374376,882
VIN_36377,fuel_pump,34,62.81876029527448,881
VIN_36377,fuel_pump,35,61.27445099245229,880
VIN_36377,fuel_pump,36,58.16380360150882,879
VIN_36377,fuel_pump,37,59.58029647254671,878
VIN_36377,fuel_pump,38,56.99325827787181,877
VIN_36377,fuel_pump,39,58.14238733567772,876
VIN_36377,fuel_pump,40,58.706064644949514,875
VIN_36377,fuel_pump,41,57.01608608616646,874
VIN_36377,fuel_pump,42,60.188751072580665,873
VIN_36377,fuel_pump,43,59.08045235087284,872
VIN_36377,fuel_pump,44,60.341705121961965,871
VIN_36377,fuel_pump,45,58.08815248630453,870
VIN_36377,fuel_pump,46,58.24039440627066,869
VIN_36377,fuel_pump,47,60.089819686850284,868
VIN_36377,fuel_pump,48,59.504750432498355,867
VIN_36377,fuel_pump,49,59.3103100820624,866
VIN_36377,fuel_pump,50,61.19838945885864,865
VIN_36377,fuel_pump,51,56.647639196509736,864
VIN_36377,fuel_pump,52,56.91063200172094,863
VIN_36377,fuel_pump,53,58.40018611256371,862
VIN_36377,fuel_pump,54,55.90998858555958,861
VIN_36377,fuel_pump,55,56.215587263713786,860
VIN_36377,fuel_pump,56,60.30124782485281,859
VIN_36377,fuel_pump,57,55.84158917133264,858
VIN_36377,fuel_pump,58,57.54011196216297,857
VIN_36377,fuel_pump,59,60.763272916742615,856
VIN_36377,fuel_pump,60,58.276689110538605,855
VIN_36377,fuel_pump,61,56.52437449614163,854
VIN_36377,fuel_pump,62,56.25284801283261,853
VIN_36377,fuel_pump,63,58.20941421569067,852
VIN_36377,fuel_pump,64,60.42198456408937,851
VIN_36377,fuel_pump,65,55.08842769810813,850
VIN_36377,fuel_pump,66,56.990140266744376,849
VIN_36377,fuel_pump,67,59.45031192293834,848
VIN_36377,fuel_pump,68,58.35533256650486,847
VIN_36377,fuel_pump,69,62.247704315988095,846
VIN_36377,fuel_pump,70,60.347466923337436,845
VIN_36377,fuel_pump,71,61.07915444514115,844
VIN_36377,fuel_pump,72,57.92296213326386,843
VIN_36377,fuel_pump,73,59.385201824724554,842
VIN_36377,fuel_pump,74,57.868072500026194,841
VIN_36377,fuel_pump,75,60.715232404242975,840
VIN_36377,fuel_pump,76,56.881866229879314,839
VIN_36377,fuel_pump,77,57.11863451863962,838
VIN_36377,fuel_pump,78,59.06832092246528,837
VIN_36377,fuel_pump,79,59.126376781441195,836
VIN_36377,fuel_pump,80,55.367160352268435,835
VIN_36377,fuel_pump,81,60.949963121007976,834
VIN_36377,fuel_pump,82,61.2636709207568,833
VIN_36377,fuel_pump,83,57.27578582716891,832
VIN_36377,fuel_pump,84,59.217616841652614,831
VIN_36377,fuel_pump,85,55.15674949633495,830
VIN_36377,fuel_pump,86,52.581292608554804,829
VIN_36377,fuel_pump,87,58.74312908039144,828
VIN_36377,fuel_pump,88,56.06734691094259,827
VIN_36377,fuel_pump,89,58.72180840692144,826
VIN_36377,fuel_pump,90,56.4875754288292,825
VIN_36377,fuel_pump,91,57.282537892023626,824
VIN_36377,fuel_pump,92,59.487482268379104,823
VIN_36377,fuel_pump,93,56.06174547128188,822
VIN_36377,fuel_pump,94,57.93527675219037,821
VIN_36377,fuel_pump,95,58.81188951338547,820
VIN_36377,fuel_pump,96,57.847574790390084,819
VIN_36377,fuel_pump,97,57.764211428276205,818
VIN_36377,fuel_pump,98,59.49734028426574,817
VIN_36377,fuel_pump,99,54.51080212674778,816
VIN_36377,fuel_pump,100,57.52167211947521,815
VIN_36377,fuel_pump,101,56.592144152277974,814
VIN_36377,fuel_pump,102,60.13163100882551,813
VIN_36377,fuel_pump,103,59.360411023421634,812
VIN_36377,fuel_pump,104,56.775490425378365,811
VIN_36377,fuel_pump,105,55.616975806734565,810
VIN_36377,fuel_pump,106,59.27396891422277,809
VIN_36377,fuel_pump,107,60.059918564507846,808
VIN_36377,fuel_pump,108,57.211280095260065,807
VIN_36377,fuel_pump,109,58.87348041991796,806
VIN_36377,fuel_pump,110,59.40254945230299,805
VIN_36377,fuel_pump,111,58.98326430115929,804
VIN_36377,fuel_pump,112,55.4388479251801,803
VIN_36377,fuel_pump,113,55.071313058819946,802
VIN_36377,fuel_pump,114,55.86826993511028,801
VIN_36377,fuel_pump,115,57.357978539715816,800
VIN_36377,fuel_pump,116,58.05690092712694,799
VIN_36377,fuel_pump,117,59.21506919917917,798
VIN_36377,fuel_pump,118,53.24972779102181,797
VIN_36377,fuel_pump,119,58.248156321673704,796
VIN_36377,fuel_pump,120,58.85239398698444,795
VIN_36377,fuel_pump,121,54.372573255365864,794
VIN_36377,fuel_pump,122,54.31181847265389,793
VIN_36377,fuel_pump,123,53.91885953352117,792
VIN_36377,fuel_pump,124,55.85054962791301,791
VIN_36377,fuel_pump,125,53.135985520843164,790
VIN_36377,fuel_pump,126,57.99555490644934,789
VIN_36377,fuel_pump,127,55.961897090884555,788
VIN_36377,fuel_pump,128,56.097854250588476,787
VIN_36377,fuel_pump,129,58.296242365204215,786
VIN_36377,fuel_pump,130,58.33279456325083,785
VIN_36377,fuel_pump,131,53.783943471621825,784
VIN_36377,fuel_pump,132,54.231472254817945,783
VIN_36377,fuel_pump,133,56.632112007980865,782
VIN_36377,fuel_pump,134,57.847595430581165,781
VIN_36377,fuel_pump,135,55.682844134493266,780
VIN_36377,fuel_pump,136,59.38813000805568,779
VIN_36377,fuel_pump,137,56.4798923352884,778
VIN_36377,fuel_pump,138,57.416856403412524,777
VIN_36377,fuel_pump,139,57.26491701658893,776
VIN_36377,fuel_pump,140,53.0338014700871,775
VIN_36377,fuel_pump,141,56.17145083793039,774
VIN_36377,fuel_pump,142,54.470526502314954,773
VIN_36377,fuel_pump,143,56.23465535101002,772
VIN_36377,fuel_pump,144,55.44079754423812,771
VIN_36377,fuel_pump,145,55.95941589088289,770
VIN_36377,fuel_pump,146,58.47513043101436,769
VIN_36377,fuel_pump,147,56.55415207682549,768
VIN_36377,fuel_pump,148,57.19543467778317,767
VIN_36377,fuel_pump,149,56.89319831033091,766
VIN_36377,fuel_pump,150,57.81363352622504,765
VIN_36377,fuel_pump,151,55.71449648131332,764
VIN_36377,fuel_pump,152,59.51640418711581,763
VIN_36377,fuel_pump,153,54.5869290683166,762
VIN_36377,fuel_pump,154,57.595734973660946,761
VIN_36377,fuel_pump,155,55.88042811668967,760
VIN_36377,fuel_pump,156,56.98536181410428,759
VIN_36377,fuel_pump,157,54.22708640310144,758
VIN_36377,fuel_pump,158,55.44389599661318,757
VIN_36377,fuel_pump,159,55.513945363558506,756
VIN_36377,fuel_pump,160,57.738924590954845,755
VIN_36377,fuel_pump,161,53.117267233604586,754
VIN_36377,fuel_pump,162,57.662329973980874,753
VIN_36377,fuel_pump,163,56.6484930929024,752
VIN_36377,fuel_pump,164,57.638286841448284,751
VIN_36377,fuel_pump,165,52.141449851020326,750
VIN_36377,fuel_pump,166,56.08806648199885,749
VIN_36377,fuel_pump,167,57.98606812211391,748
VIN_36377,fuel_pump,168,51.82462152870069,747
VIN_36377,fuel_pump,169,54.51010470455309,746
VIN_36377,fuel_pump,170,54.49081748885087,745
VIN_36377,fuel_pump,171,56.925602421488406,744
VIN_36377,fuel_pump,172,53.30751581727124,743
VIN_36377,fuel_pump,173,57.288650658099705,742
VIN_36377,fuel_pump,174,50.61429398240644,741
VIN_36377,fuel_pump,175,56.618942191982406,740
VIN_36377,fuel_pump,176,54.721134692704474,739
VIN_36377,fuel_pump,177,57.35017591617234,738
VIN_36377,fuel_pump,178,54.20067097567837,737
VIN_36377,fuel_pump,179,55.913877752275425,736
VIN_36377,fuel_pump,180,54.04923959130922,735
VIN_36377,fuel_pump,181,53.68279160656386,734
VIN_36377,fuel_pump,182,56.58907079479014,733
VIN_36377,fuel_pump,183,55.25260622992374,732
VIN_36377,fuel_pump,184,56.12566997073496,731
VIN_36377,fuel_pump,185,55.504035301045626,730
VIN_36377,fuel_pump,186,54.551688599982874,729
VIN_36377,fuel_pump,187,54.653516848176885,728
VIN_36377,fuel_pump,188,53.25629603435708,727
VIN_36377,fuel_pump,189,54.23160355382701,726
VIN_36377,fuel_pump,190,49.76902386427698,725
VIN_36377,fuel_pump,191,54.93013522713159,724
VIN_36377,fuel_pump,192,57.48123623793525,723
VIN_36377,fuel_pump,193,57.92960786243698,722
VIN_36377,fuel_pump,194,51.97233874941387,721
VIN_36377,fuel_pump,195,55.443510518057124,720
VIN_36377,fuel_pump,196,54.02034864673539,719
VIN_36377,fuel_pump,197,53.01593589013958,718
VIN_36377,fuel_pump,198,53.59420448374298,717
VIN_36377,fuel_pump,199,54.83733371044165,716
VIN_36377,fuel_pump,200,52.865684959836514,715
VIN_36377,fuel_pump,201,56.98145071284615,714
VIN_36377,fuel_pump,202,53.24299501998091,713
VIN_36377,fuel_pump,203,56.42224198114645,712
VIN_36377,fuel_pump,204,55.40861997735768,711
VIN_36377,fuel_pump,205,51.83943433285762,710
VIN_36377,fuel_pump,206,56.07598887685024,709
VIN_36377,fuel_pump,207,52.559824185620045,708
VIN_36377,fuel_pump,208,57.67037400349591,707
VIN_36377,fuel_pump,209,57.300831149225665,706
VIN_36377,fuel_pump,210,55.65624963986343,705
VIN_36377,fuel_pump,211,57.38319996677063,704
VIN_36377,fuel_pump,212,53.01075742521168,703
VIN_36377,fuel_pump,213,54.57997637330042,702
VIN_36377,fuel_pump,214,52.54751772086214,701
VIN_36377,fuel_pump,215,54.15145967293664,700
VIN_36377,fuel_pump,216,55.19680917614641,699
VIN_36377,fuel_pump,217,52.979706738655025,698
VIN_36377,fuel_pump,218,57.29844015306627,697
VIN_36377,fuel_pump,219,52.96048329140839,696
VIN_36377,fuel_pump,220,53.800093546080795,695
VIN_36377,fuel_pump,221,56.36700360792185,694
VIN_36377,fuel_pump,222,56.4477386913759,693
VIN_36377,fuel_pump,223,56.268533305811445,692
VIN_36377,fuel_pump,224,58.95216073027135,691
VIN_36377,fuel_pump,225,56.480784292727506,690
VIN_36377,fuel_pump,226,53.02496760577886,689
VIN_36377,fuel_pump,227,59.39101277364954,688
VIN_36377,fuel_pump,228,53.640562821378914,687
VIN_36377,fuel_pump,229,54.77179233083972,686
VIN_36377,fuel_pump,230,54.95191377100348,685
VIN_36377,fuel_pump,231,56.19483154894286,684
VIN_36377,fuel_pump,232,55.51655786139626,683
VIN_36377,fuel_pump,233,56.53935562928245,682
VIN_36377,fuel_pump,234,54.31217961988147,681
VIN_36377,fuel_pump,235,53.24299596030993,680
VIN_36377,fuel_pump,236,53.06541694634396,679
VIN_36377,fuel_pump,237,51.871872486031684,678
VIN_36377,fuel_pump,238,51.899172596948425,677
VIN_36377,fuel_pump,239,54.56646314046692,676
VIN_36377,fuel_pump,240,51.76357953206364,675
VIN_36377,fuel_pump,241,53.31577910523968,674
VIN_36377,fuel_pump,242,53.31459290529405,673
VIN_36377,fuel_pump,243,50.22492613307001,672
VIN_36377,fuel_pump,244,53.59083652151871,671
VIN_36377,fuel_pump,245,53.48303522006905,670
VIN_36377,fuel_pump,246,52.95917717220231,669
VIN_36377,fuel_pump,247,53.05325571185051,668
VIN_36377,fuel_pump,248,53.9046405557494,667
VIN_36377,fuel_pump,249,52.97717710604828,666
VIN_36377,fuel_pump,250,54.517650663270196,665
VIN_36377,fuel_pump,251,54.36856003716982,664
VIN_36377,fuel_pump,252,55.56357956684816,663
